revenue_detail_id,revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,saisetsu_code,saisetsu_name,department_display_name,source_funding_category_name,funding_nature,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,is_zero_amount,related_program_count,source_file,source_row_number
rd_2026_general_revenue_12_01_01_05_02_2335100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,02,玉川総合支所,玉川総合支所 地域振興課,使用料,specific,4728,6222,1494,false,1,ippansainyu.csv,16806
rd_2026_general_revenue_12_01_01_05_03_2135100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,03,世田谷地域出張所,世田谷総合支所 地域振興課,使用料,specific,129,0,-129,true,0,ippansainyu.csv,16744
rd_2026_general_revenue_12_01_01_05_04_2335100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,04,玉川地域出張所,玉川総合支所 地域振興課,使用料,specific,43,44,1,false,1,ippansainyu.csv,16807
rd_2026_general_revenue_12_01_01_05_05_2435100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,05,砧地域出張所,砧総合支所 地域振興課,使用料,specific,58,122,64,false,1,ippansainyu.csv,16834
rd_2026_general_revenue_12_01_01_05_06_2535100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,06,烏山区民センター,烏山総合支所 地域振興課,使用料,specific,808,811,3,false,1,ippansainyu.csv,16865
rd_2026_general_revenue_12_01_01_05_12_2435100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,12,砧地域地区会館,砧総合支所 地域振興課,使用料,specific,68,44,-24,false,1,ippansainyu.csv,16835
rd_2026_general_revenue_12_01_01_05_13_2235100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,13,北沢地域出張所,北沢総合支所 地域振興課,使用料,specific,400,50,-350,false,1,ippansainyu.csv,16778
rd_2026_general_revenue_12_01_01_05_14_2135100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,14,桜丘区民センター,世田谷総合支所 地域振興課,使用料,specific,56,58,2,false,1,ippansainyu.csv,16745
rd_2026_general_revenue_12_01_01_05_15_2135100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,15,世田谷地域地区会館,世田谷総合支所 地域振興課,使用料,specific,240,251,11,false,1,ippansainyu.csv,16746
rd_2026_general_revenue_12_01_01_05_17_2535100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,17,烏山地域地区会館,烏山総合支所 地域振興課,使用料,specific,467,151,-316,false,1,ippansainyu.csv,16866
rd_2026_general_revenue_12_01_01_05_18_2235100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,18,北沢タウンホール,北沢総合支所 地域振興課,使用料,specific,5000,5800,800,false,1,ippansainyu.csv,16779
rd_2026_general_revenue_12_01_01_05_20_3405450000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,20,男女共同参画センター研修室,生活文化政策部 人権男女共同参画課,使用料,specific,621,600,-21,false,1,ippansainyu.csv,17063
rd_2026_general_revenue_12_01_01_05_25_2235100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,25,北沢地域地区会館,北沢総合支所 地域振興課,使用料,specific,222,0,-222,true,0,ippansainyu.csv,16780
rd_2026_general_revenue_12_01_01_05_34_2535100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,34,粕谷区民センター,烏山総合支所 地域振興課,使用料,specific,89,92,3,false,1,ippansainyu.csv,16867
rd_2026_general_revenue_12_01_01_05_41_2435100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,41,砧総合支所,砧総合支所 地域振興課,使用料,specific,132,204,72,false,1,ippansainyu.csv,16836
rd_2026_general_revenue_12_01_01_05_43_3405500000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,43,区民健康村用地,生活文化政策部 健康村・ふる交流課,使用料,specific,224,213,-11,false,1,ippansainyu.csv,17078
