revenue_detail_id,revenue_section_id,revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,setsu_code,setsu_name,saisetsu_code,saisetsu_name,department_code,department_name,source_revenue_number,source_revenue_number_name,source_funding_category_code,source_funding_category_name,funding_nature,previous_amount_thousand_yen,requested_amount_thousand_yen,estimated_amount_thousand_yen,current_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,request_content,assessment_content,is_zero_amount,source_type,source_file,source_row_number
rd_2026_general_revenue_12_01_01_02_12_2135100000,rs_2026_general_revenue_12_01_01_02,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,02,区民センター,12,桜丘区民センター,2135100000,世支＊地域振興課,41,使用料区民センター桜丘区民センター,3,使用料,specific,9374,10273,10273,10273,10273,0,,,false,official_csv,ippansainyu.csv,16742
rd_2026_general_revenue_12_01_01_03_06_2535100000,rs_2026_general_revenue_12_01_01_03,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,03,食堂施設,06,上北沢区民センター,2535100000,烏支＊地域振興課,44,使用料食堂施設上北沢区民センター,3,使用料,specific,489,489,489,489,489,0,,,false,official_csv,ippansainyu.csv,16864
rd_2026_general_revenue_12_01_01_03_08_2135100000,rs_2026_general_revenue_12_01_01_03,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,03,食堂施設,08,宮坂区民センター,2135100000,世支＊地域振興課,45,使用料食堂施設宮坂区民センター,3,使用料,specific,434,435,435,435,435,0,,,false,official_csv,ippansainyu.csv,16743
rd_2026_general_revenue_12_01_01_05_01_3235200000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,01,庁舎,3235200000,庁舎＊庁舎管理担当課,48,使用料総務施設庁舎,3,使用料,specific,2983,3524,3974,3974,3974,0,"行政財産使用料
①－
②ＡＴＭ土地・建物使用料：174,786
③バス折り返し所土地使用料：332,776
④議員活動用コピー機建物使用料：42,168
⑤自動写真機土地使用料：24,168
⑥郵便差出箱土地使用料：6,600
⑦映像モニターの設置：5,100
⑧その他土地使用料(一時・長期使用等・東京電力含む)：68,181
⑨事務所使用料：2,210,958
⑩宅配便ロッカー：43,248
⑪旧船橋まちづくりセンター公衆電話ボックス土地使用料：8,250
⑫旧若林まちセンコンクリート柱等使用料：56,988
合計2,983,339円",,false,official_csv,ippansainyu.csv,16958
rd_2026_general_revenue_12_01_01_05_02_2335100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,02,玉川総合支所,2335100000,玉支＊地域振興課,49,使用料総務施設玉川総合支所,3,使用料,specific,4728,6222,6222,6222,6222,0,,,false,official_csv,ippansainyu.csv,16806
rd_2026_general_revenue_12_01_01_05_03_2135100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,03,世田谷地域出張所,2135100000,世支＊地域振興課,50,使用料総務施設世田谷地域出張所,3,使用料,specific,129,0,0,0,0,0,,,true,official_csv,ippansainyu.csv,16744
rd_2026_general_revenue_12_01_01_05_04_2335100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,04,玉川地域出張所,2335100000,玉支＊地域振興課,51,使用料総務施設玉川地域出張所,3,使用料,specific,43,44,44,44,44,0,,,false,official_csv,ippansainyu.csv,16807
rd_2026_general_revenue_12_01_01_05_05_2435100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,05,砧地域出張所,2435100000,砧支＊地域振興課,52,使用料総務施設砧地域出張所,3,使用料,specific,58,122,122,122,122,0,,,false,official_csv,ippansainyu.csv,16834
rd_2026_general_revenue_12_01_01_05_06_2535100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,06,烏山区民センター,2535100000,烏支＊地域振興課,53,使用料総務施設烏山区民センター,3,使用料,specific,808,811,811,811,811,0,,,false,official_csv,ippansainyu.csv,16865
rd_2026_general_revenue_12_01_01_05_12_2435100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,12,砧地域地区会館,2435100000,砧支＊地域振興課,56,使用料総務施設砧地域地区会館,3,使用料,specific,68,44,44,44,44,0,"①祖師谷地区会館CATV電柱（1本）使用料＠1,340×12月＝16,080円
②宇奈根地区会館公衆電話室（1基）使用料＠1,020×12月＝12,240円
③宇奈根地区会館電柱（1本）支線（1条）使用料＠1,377*2×12月＝33,048円
",,false,official_csv,ippansainyu.csv,16835
rd_2026_general_revenue_12_01_01_05_13_2235100000,rs_2026_general_revenue_12_01_01_05,2026_general_revenue_12_01_01,2026,general,一般会計,revenue,12,使用料及手数料,01,使用料,01,総務使用料,05,総務施設,13,北沢地域出張所,2235100000,北支＊地域振興課,57,使用料総務施設北沢地域出張所,3,使用料,specific,400,50,50,50,50,0,,,false,official_csv,ippansainyu.csv,16778
