revenue_item_key,fiscal_year,account_code,account_name,budget_side,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,previous_amount_thousand_yen,current_amount_thousand_yen,diff_amount_thousand_yen,allocated_amount_thousand_yen,unallocated_amount_thousand_yen,general_revenue_thousand_yen,specific_revenue_thousand_yen,special_account_revenue_thousand_yen,section_count,detail_count,validation_status,source_type
2026_long_term_care_insurance_revenue_43_01_01,2026,long_term_care_insurance,介護保険事業会計,revenue,43,国庫支出金,01,国庫負担金,01,介護給付費負担金,12774188,13000447,226259,13000447,0,0,0,13000447,1,18,ok,derived
2026_long_term_care_insurance_revenue_43_02_01,2026,long_term_care_insurance,介護保険事業会計,revenue,43,国庫支出金,02,国庫補助金,01,調整交付金,1166174,895698,-270476,895698,0,0,0,895698,1,23,ok,derived
2026_long_term_care_insurance_revenue_43_02_05,2026,long_term_care_insurance,介護保険事業会計,revenue,43,国庫支出金,02,国庫補助金,05,地域支援事業交付金（包括的支援事業・任意事業）,182299,177937,-4362,177937,0,0,0,177937,1,10,ok,derived
2026_long_term_care_insurance_revenue_43_02_10,2026,long_term_care_insurance,介護保険事業会計,revenue,43,国庫支出金,02,国庫補助金,10,介護保険災害臨時特例補助金,59,47,-12,47,0,0,0,47,1,2,ok,derived
2026_long_term_care_insurance_revenue_43_02_14,2026,long_term_care_insurance,介護保険事業会計,revenue,43,国庫支出金,02,国庫補助金,14,地域支援事業交付金（介護予防・日常生活支援総合事業）,347220,353805,6585,353805,0,0,0,353805,1,4,ok,derived
2026_long_term_care_insurance_revenue_43_02_16,2026,long_term_care_insurance,介護保険事業会計,revenue,43,国庫支出金,02,国庫補助金,16,保険者機能強化推進交付金,48837,43954,-4883,43954,0,0,0,43954,1,1,ok,derived
2026_long_term_care_insurance_revenue_43_02_17,2026,long_term_care_insurance,介護保険事業会計,revenue,43,国庫支出金,02,国庫補助金,17,介護保険保険者努力支援交付金,96735,94767,-1968,94767,0,0,0,94767,1,4,ok,derived
2026_long_term_care_insurance_revenue_44_01_01,2026,long_term_care_insurance,介護保険事業会計,revenue,44,支払基金交付金,01,支払基金交付金,01,介護給付費交付金,18963489,19340931,377442,19340931,0,0,0,19340931,1,18,ok,derived
2026_long_term_care_insurance_revenue_44_01_03,2026,long_term_care_insurance,介護保険事業会計,revenue,44,支払基金交付金,01,支払基金交付金,03,地域支援事業支援交付金（介護予防・日常生活支援総合事業）,483443,493473,10030,493473,0,0,0,493473,1,5,ok,derived
2026_long_term_care_insurance_revenue_45_01_01,2026,long_term_care_insurance,介護保険事業会計,revenue,45,都支出金,01,都負担金,01,介護給付費負担金,10052233,10280302,228069,10280302,0,0,0,10280302,1,18,ok,derived
